Designator,Footprint,Device,Description,LCSC Part #
JP1,,PINHD-1X6,PIN HEADER,C358720
JP2,,PINHD-1X6,PIN HEADER,C358720
JP3,,PINHD-1X4,PIN HEADER,C124413
JP4,,ETHERNET,,C385834
JP5,,ETHERNET,,C385834
L1,,NLFV32T-101K-EF,,C114775
Q3,,NPN-TRANSISTOR_SOT23,NPN TRANSISTOR,C15127
Q4,,NPN-TRANSISTOR_SOT23,NPN TRANSISTOR,C15127
R1,,R-US_R0805,"RESISTOR, American symbol",C22787
R3,,R-US_R0805,"RESISTOR, American symbol",C17673
R7,,R-US_R0805,"RESISTOR, American symbol",C22787
R8,,R-US_R0805,"RESISTOR, American symbol",C17475
R9,,R-US_R0805,"RESISTOR, American symbol",C17673
U$1,,MAX485,Check prices,C6855
U$2,,MAX485,Check prices,C6855
X1,,W237-102,WAGO SCREW CLAMP,C8465
X2,,W237-102,WAGO SCREW CLAMP,C8465
X3,,W237-102,WAGO SCREW CLAMP,C8465
X6,,W237-103,WAGO SCREW CLAMP,C72334
X7,,W237-102,WAGO SCREW CLAMP,C8465
X8,,W237-103,WAGO SCREW CLAMP,C72334